"ประทับเวลา","สถานภาพของผู้ตอบแบบสอบถาม","หลักสูตร/สาขา","ชั้นปี (ถ้าเป็นนักศึกษา)","ท่านใช้สิ่งสนับสนุนการเรียนรู้ของคณะบ่อยเพียงใด","1. ห้องเรียนมีจำนวนเพียงพอและมีสภาพแวดล้อมที่เอื้อต่อการเรียนรู้  (AUN-QA 7.1)  ","2. ห้องปฏิบัติการ/อุปกรณ์เฉพาะทาง มีความทันสมัยและพร้อมใช้งาน (AUN-QA 7.2)  ","3. ทรัพยากรห้องสมุด (หนังสือ / e-Book / Database) ตรงกับความต้องการ (AUN-QA 7.3)  ","4. ระบบเทคโนโลยีสารสนเทศและ Wi-Fi มีความเสถียรและครอบคลุม (AUN-QA 7.4)  ","5. มาตรฐานความปลอดภัย (ถังดับเพลิง ป้ายทางหนีไฟ ระบบรักษาความปลอดภัย) (AUN-QA 7.5)  ","6.  ความสะอาดของห้องน้ำและพื้นที่ส่วนกลาง ","7.  พื้นที่สำหรับพักผ่อนหรือทำงานกลุ่ม (Co-working Space) ","8. ความสว่างและการระบายอากาศในอาคาร ","9.  สิ่งอำนวยความสะดวกสำหรับผู้พิการ เช่น ทางลาดสำหรับผู้พิการ ห้องน้ำผู้พิการ เป็นต้น","10. เจ้าหน้าที่ผู้ดูแลสิ่งอำนวยความสะดวกให้บริการด้วยความสุภาพและรวดเร็ว (AUN-QA 7.6)  ","11.  เจ้าหน้าที่ผู้ดูแล (ช่าง / บรรณารักษ์ / IT) มีความรู้และเต็มใจให้บริการ (AUN-QA 7.6)  ","12. ระบบการแจ้งซ่อมหรือขอความช่วยเหลือมีความสะดวกและมีประสิทธิภาพ (AUN-QA 7.7)  ","13.  เมื่อมีการแจ้งปัญหา ท่านได้รับการตอบสนองหรือแก้ไขภายในเวลาที่เหมาะสม (AUN-QA 7.7)  ","14.  สิ่งสนับสนุนการเรียนรู้ของคณะช่วยให้การเรียนของท่านมีประสิทธิภาพมากขึ้น ","15.  สิ่งอำนวยความสะดวกของคณะช่วยส่งเสริมการเรียนรู้และการทำงานร่วมกันของนักศึกษา ","16. สิ่งสนับสนุนการเรียนรู้ของคณะมีความเพียงพอต่อความต้องการในการเรียน","17. สิ่งใดควรได้รับการปรับปรุงมากที่สุด (เลือกได้มากกว่า 1 ข้อ)  ","18. ท่านมีความพึงพอใจต่อสิ่งสนับสนุนการเรียนรู้ของคณะโดยรวมในระดับใด  ","19. ข้อเสนอแนะเพิ่มเติม"
"2569/03/15 3:27:19 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","3","2","4","1","1","5","1","2","2","5","4","5","3","5","3","4","ความสะอาดและสิ่งแวดล้อม;","5","ไม่มี"
"2569/03/15 3:27:19 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้เดือนละหลายครั้ง","5","5","4","4","5","4","3","4","4","3","4","3","3","5","5","5","ความสะอาดของห้องน้ำ","5",""
"2569/03/15 3:27:20 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","5","5","3","5","5","5","5","5","5","4","4","4","5","4","4","5","ระบบอินเทอร์เน็ต","5","เรียนดีและสนุก"
"2569/03/15 3:27:31 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","4","4","4","3","4","3","2","3","3","4","4","3","3","4","4","3","ห้องเรียน;ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต","4","ขอWi-Fiอย่าล่มบ่อย"
"2569/03/15 3:28:24 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","3","4","4","4","4","4","3","4","3","4","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 3:28:51 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","5","4","5","4","5","4","5","5","3","5","5","4","5","5","3","5","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 3:28:58 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","4","4","4","3","4","3","5","4","4","4","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","4",""
"2569/03/15 3:29:00 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","4","4","4","4","4","3","3","4","3","3","3","3","3","4","4","4","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","4",""
"2569/03/15 3:29:14 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","4","4","3","3","4","1","3","4","1","1","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;ห้องน้ำ","3","อยากให้ทำความสะอาดห้องน้ำชั้น1ให้สะอาดมากขึ้นเหม็นมาก"
"2569/03/15 3:29:57 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","3","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 3:30:00 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","4","3","3","3","4","1","2","5","3","2","1","2","3","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","3",""
"2569/03/15 3:30:15 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 3:30:42 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","3","3","3","3","3","3","4","4","4","4","4","4","3","4","4","4","ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","5","-"
"2569/03/15 3:31:19 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ห้องเรียน","5",""
"2569/03/15 3:33:42 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","3","3","3","3","4","2","2","2","4","2","3","4","3","3","2","3","ความสะอาดและสิ่งแวดล้อม","3",""
"2569/03/15 3:33:48 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 3:34:02 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ความปลอดภัยในอาคาร","4",""
"2569/03/15 3:34:12 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","แทบไม่เคยใช้","4","4","4","4","4","2","4","4","5","4","4","4","3","3","3","3","ความปลอดภัยในอาคาร","4","ไม่มี"
"2569/03/15 3:34:49 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้นาน ๆ ครั้ง","2","2","2","3","3","2","3","3","3","2","3","2","3","3","3","2","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","3",""
"2569/03/15 3:35:23 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","2","3","3","3","5","4","4","5","5","5","5","4","5","4","4","5","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;ห้องน้ำมีคนสูบบุหรี่อย่างปรับปรุงในด้านนี้","3","อยากให้มีปลั๊กที่เสาเพิ่มเนื่องจากบ้างครั้งไม่เพียงพอต่อนักศึกษาที่มาทำงานกลุ่มใต้ตึกคณะ อยากให้มีปลั๊กทั้งสองฝั่ง"
"2569/03/15 3:35:26 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","2","3","3","3","5","4","4","5","5","5","5","4","5","4","4","5","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;ห้องน้ำมีคนสูบบุหรี่ครับพี่ ","3","อยากให้มีปลั๊กที่เสาอีกฝั่งเพิ่ม(ถ้าเป็นไปได้) จะได้ไม่แย่งกันใช้  เพราะบางทีมันไม่เพียงพอ"
"2569/03/15 3:35:46 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","3","3","3","4","3","4","4","4","3","3","3","4","3","3","3","4","ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","4",""
"2569/03/15 3:36:21 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","4","4","4","3","4","4","4","4","3","5","4","3","3","5","4","4","ระบบอินเทอร์เน็ต","5","-"
"2569/03/15 3:37:17 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้นาน ๆ ครั้ง","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 3:38:09 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","5","5","4","4","5","3","4","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 3:38:30 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","5","5","5","4","5","3","4","5","5","5","5","4","4","5","4","4","ระบบอินเทอร์เน็ต","4","ไม่มี"
"2569/03/15 3:39:23 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ห้องสมุด;ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:40:38 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","4","5","5","5","5","4","5","5","5","5","5","5","5","4","4","5","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","5",""
"2569/03/15 3:45:00 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","4","4","4","3","4","3","4","4","4","3","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","4","ห้องน้ำชั้น4 น้ำไหลเบามาก ส่วนห้องน้ำหลังเวทีสกปรก ส่งกลิ่นเหม็น ไม่ค่อยสะอาด บางห้องที่ฉีดก็ชำรุด"
"2569/03/15 3:45:39 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","5","3","4","4","5","4","4","4","4","4","4","4","4","5","4","4","ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","4","-"
"2569/03/15 3:49:16 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ระบบแจ้งซ่อม","5",""
"2569/03/15 3:57:06 PM GMT+7","อาจารย์","การตลาดดิจิทัล","อาจารย์","ใช้สัปดาห์ละหลายครั้ง","5","4","4","5","4","5","5","4","4","4","4","4","4","5","5","5","ห้องปฏิบัติการ;ห้องสมุด;การบริการของเจ้าหน้าที่","4",""
"2569/03/15 3:58:59 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 1","ใช้สัปดาห์ละหลายครั้ง","4","3","3","3","4","4","4","4","3","4","3","3","5","4","3","4","ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:59:49 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 2","ใช้ทุกวัน","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ระบบแจ้งซ่อม","4","อยากให้มีพื้นที่ส่วนกลางมากกว่านี้"
"2569/03/15 4:00:19 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 1","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ห้องเรียน;ห้องปฏิบัติการ;ห้องสมุด;ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","5","-"
"2569/03/15 4:00:31 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 1","ใช้ทุกวัน","3","2","4","2","4","3","2","5","3","5","5","5","5","4","4","4","ห้องเรียน;ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต;ระบบแจ้งซ่อม","4","-"
"2569/03/15 4:01:09 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 2","แทบไม่เคยใช้","3","3","3","3","3","2","1","3","1","3","2","2","3","3","3","3","ห้องเรียน;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","3",""
"2569/03/15 4:01:53 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 2","ใช้เดือนละหลายครั้ง","5","5","4","5","5","5","5","4","3","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต","5","-"
"2569/03/15 4:05:34 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 2","ใช้นาน ๆ ครั้ง","4","3","3","2","4","5","3","4","4","3","5","3","4","4","4","4","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","4","-"
"2569/03/15 4:06:04 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","","ใช้นาน ๆ ครั้ง","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","ห้องเรียน;-","3","-"
"2569/03/15 4:11:00 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","5","5","4","5","5","5","4","5","5","5","4","5","5","5","5","5","ความปลอดภัยในอาคาร","5",""
"2569/03/15 4:14:22 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 2","ใช้ทุกวัน","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","ห้องเรียน;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","3",""
"2569/03/15 4:14:34 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","5","5","4","5","5","5","5","5","5","4","4","5","5","5","5","5","ห้องเรียน;ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","5",""
"2569/03/15 4:16:59 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 2","ใช้สัปดาห์ละหลายครั้ง","4","3","1","3","5","3","4","5","5","4","5","4","5","5","5","4","ห้องสมุด;ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","4","-"
"2569/03/15 4:18:11 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","4","4","4","4","3","3","4","4","4","4","4","4","3","4","4","4","ห้องสมุด;ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร","3",""
"2569/03/15 4:19:40 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 2","ใช้ทุกวัน","4","3","3","3","4","3","3","4","4","4","4","4","4","3","3","4","ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","5",""
"2569/03/15 4:20:33 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 2","ใช้สัปดาห์ละหลายครั้ง","3","3","3","3","3","3","2","3","4","3","2","4","4","3","4","4","ระบบอินเทอร์เน็ต","3","_"
"2569/03/15 4:29:25 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","5","5","5","4","5","5","4","5","5","5","4","5","5","5","5","5","ไม่มี","5","-"
"2569/03/15 5:18:21 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","5","4","4","2","4","5","4","4","5","5","3","4","4","4","4","4","ระบบอินเทอร์เน็ต","4",""
"2569/03/15 5:26:59 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","5","5","4","5","3","5","5","5","5","5","5","5","5","5","5","5","ห้องเรียน;ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","5",""
"2569/03/15 5:27:14 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้นาน ๆ ครั้ง","4","4","5","4","5","4","4","5","4","5","5","4","5","5","4","5","ระบบอินเทอร์เน็ต","4",""
"2569/03/15 5:35:20 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","5","5","5","5","5","5","5","4","4","5","5","4","4","5","5","5","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 5:46:49 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต;ระบบแจ้งซ่อม","5",""
"2569/03/15 5:56:02 PM GMT+7","นักศึกษา","บัญชี","ปี 1","ใช้นาน ๆ ครั้ง","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 5:56:23 PM GMT+7","นักศึกษา","บัญชี","ปี 1","ใช้สัปดาห์ละหลายครั้ง","4","4","4","4","5","4","4","5","5","5","5","4","4","4","4","4","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 5:56:27 PM GMT+7","นักศึกษา","บัญชี","ปี 1","แทบไม่เคยใช้","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ห้องเรียน;ความปลอดภัยในอาคาร","4","-"
"2569/03/15 5:57:05 PM GMT+7","นักศึกษา","บัญชี","ปี 1","แทบไม่เคยใช้","5","4","4","3","4","3","4","4","4","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 6:00:15 PM GMT+7","นักศึกษา","บัญชี","ปี 1","ใช้ทุกวัน","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ระบบแจ้งซ่อม","4","-"
"2569/03/15 6:03:10 PM GMT+7","นักศึกษา","บัญชี","ปี 1","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ไม่มี","5","ไม่มี"
"2569/03/15 6:07:13 PM GMT+7","นักศึกษา","บัญชี","ปี 1","ใช้นาน ๆ ครั้ง","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","ความสะอาดและสิ่งแวดล้อม","5",""
"2569/03/15 6:44:02 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","5","5","5","5","5","5","4","4","5","5","5","5","5","4","4","5","ห้องปฏิบัติการ;ห้องสมุด;ความสะอาดและสิ่งแวดล้อม","5",""
"2569/03/15 6:45:05 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 6:54:25 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","3","3","3","2","5","4","2","2","3","3","2","1","1","2","2","2","การบริการของเจ้าหน้าที่","3",""
"2569/03/15 6:55:50 PM GMT+7","นักศึกษา","บัญชี","ปี 1","ใช้สัปดาห์ละหลายครั้ง","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ห้องเรียน","4","-"
"2569/03/15 6:59:00 PM GMT+7","นักศึกษา","การจัดการธุรกิจสมัยใหม่","ปี 2","ใช้นาน ๆ ครั้ง","5","3","3","2","3","5","4","4","2","5","5","4","4","5","5","4","ห้องเรียน;ระบบอินเทอร์เน็ต","4",""
"2569/03/15 7:13:08 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","4","4","4","4","5","5","5","5","5","5","5","4","4","5","5","5","ห้องเรียน;ห้องปฏิบัติการ","5",""